filename,contorno,numeros,agujas
incorrect/reloj_031.png,0,0,0
correct/reloj_133.png,0,1,1
correct/reloj_135.png,0,1,0
correct/reloj_076.png,0,1,1
incorrect/reloj_058.png,0,0,0
incorrect/reloj_143.png,0,0,0
incorrect/reloj_159.png,0,0,0
incorrect/reloj_156.png,0,0,0
incorrect/reloj_261.jpg,0,0,0
incorrect/reloj_147.png,0,0,0
correct/reloj_083.png,0,1,0
incorrect/reloj_227.png,0,0,0
incorrect/reloj_177.png,0,0,0
correct/reloj_129.png,0,1,0
incorrect/reloj_077.png,0,0,0
correct/reloj_127.png,0,1,1
incorrect/reloj_220.png,0,0,0
correct/reloj_212.png,0,0,1
correct/reloj_002.jpg,1,0,0
incorrect/reloj_094.png,0,0,0
correct/reloj_088.png,0,1,1
correct/reloj_116.png,0,0,1
correct/reloj_051.png,1,1,0
incorrect/reloj_234.png,0,0,0
incorrect/reloj_196.png,0,0,0
incorrect/reloj_046.png,0,0,0
incorrect/reloj_141.png,0,0,0
correct/reloj_050.png,1,1,0
correct/reloj_072.png,0,1,0
correct/reloj_023.png,0,1,1
correct/reloj_164.jpg,1,0,0
correct/reloj_081.png,0,1,1
correct/reloj_184.jpg,1,1,0
incorrect/reloj_259.jpg,0,0,0
correct/reloj_068.png,0,0,1
incorrect/reloj_155.png,0,0,0
incorrect/reloj_026.png,0,0,0
correct/reloj_017.png,0,0,1
incorrect/reloj_016.png,0,0,0
correct/reloj_013.png,0,0,1
incorrect/reloj_245.jpg,0,0,0
incorrect/reloj_300.png,0,0,0
incorrect/reloj_073.png,0,0,0
incorrect/reloj_119.png,0,0,0
correct/reloj_110.png,0,0,1
incorrect/reloj_145.png,0,0,0
correct/reloj_103.png,1,1,0
incorrect/reloj_283.jpg,0,0,0
correct/reloj_008.jpg,1,0,0
correct/reloj_092.png,0,1,1
incorrect/reloj_079.png,0,0,0
incorrect/reloj_165.png,0,0,0
incorrect/reloj_097.png,0,0,0
correct/reloj_232.png,0,0,1
correct/reloj_042.jpg,1,0,0
incorrect/reloj_113.png,0,0,0
incorrect/reloj_118.png,0,0,0
incorrect/reloj_272.png,0,0,0
correct/reloj_146.png,1,1,0
incorrect/reloj_171.png,0,0,0
incorrect/reloj_008.png,0,0,0
incorrect/reloj_230.png,0,0,0
correct/reloj_160.jpg,1,0,0
correct/reloj_137.png,0,1,1
correct/reloj_011.png,0,0,1
incorrect/reloj_307.jpg,0,1,0
incorrect/reloj_289.jpg,0,0,0
correct/reloj_020.jpg,1,0,0
incorrect/reloj_291.jpg,0,1,0
correct/reloj_180.jpg,1,1,0
correct/reloj_048.png,1,1,1
incorrect/reloj_273.jpg,0,0,0
correct/reloj_204.jpg,1,1,1
correct/reloj_186.jpg,1,1,1
incorrect/reloj_257.jpg,0,0,0
incorrect/reloj_233.png,0,0,0
correct/reloj_007.jpg,1,0,0
incorrect/reloj_019.png,0,0,0
incorrect/reloj_231.png,0,0,0
incorrect/reloj_269.jpg,0,0,0
correct/reloj_224.png,1,1,1
incorrect/reloj_052.png,0,0,0
incorrect/reloj_153.png,0,0,0
incorrect/reloj_060.png,0,0,0
correct/reloj_203.jpg,1,1,1
incorrect/reloj_070.png,0,0,0
incorrect/reloj_284.png,0,0,0
correct/reloj_167.jpg,1,0,0
correct/reloj_010.jpg,1,0,0
correct/reloj_228.png,0,1,1
correct/reloj_150.png,1,1,0
correct/reloj_091.png,0,1,1
incorrect/reloj_036.png,0,0,0
correct/reloj_101.png,1,1,1
correct/reloj_012.png,0,0,1
incorrect/reloj_255.jpg,0,0,0
incorrect/reloj_133.png,0,0,0
incorrect/reloj_176.png,0,0,0
incorrect/reloj_226.png,0,0,0
correct/reloj_170.jpg,1,1,0
correct/reloj_205.png,1,1,1
correct/reloj_054.png,1,1,1
correct/reloj_218.png,0,0,1
incorrect/reloj_067.png,0,0,0
incorrect/reloj_109.png,0,0,0
correct/reloj_182.jpg,1,1,0
incorrect/reloj_126.png,0,0,0
correct/reloj_117.png,0,0,1
correct/reloj_111.png,0,0,1
incorrect/reloj_030.png,0,0,0
correct/reloj_175.jpg,1,1,0
correct/reloj_060.png,0,0,1
incorrect/reloj_166.png,0,0,0
incorrect/reloj_140.png,0,0,0
incorrect/reloj_068.png,0,0,0
incorrect/reloj_174.png,0,0,0
incorrect/reloj_056.png,0,0,0
incorrect/reloj_020.png,0,0,0
incorrect/reloj_250.png,0,0,0
correct/reloj_183.jpg,1,1,0
incorrect/reloj_173.png,0,0,0
correct/reloj_208.png,1,1,1
incorrect/reloj_195.png,0,0,0
incorrect/reloj_179.png,0,0,0
correct/reloj_071.png,0,0,1
correct/reloj_168.jpg,1,0,0
incorrect/reloj_205.png,0,0,0
correct/reloj_159.png,1,1,1
correct/reloj_233.png,0,0,1
correct/reloj_095.png,1,1,0
correct/reloj_087.png,0,1,1
incorrect/reloj_091.png,0,0,0
incorrect/reloj_127.png,0,0,0
incorrect/reloj_248.png,0,0,0
incorrect/reloj_180.png,0,0,0
correct/reloj_143.png,0,1,1
correct/reloj_062.png,0,0,1
incorrect/reloj_235.png,0,0,0
correct/reloj_153.png,1,1,1
incorrect/reloj_223.png,0,0,0
correct/reloj_024.png,0,1,1
correct/reloj_149.png,1,1,0
incorrect/reloj_238.png,0,0,0
incorrect/reloj_260.png,0,0,0
correct/reloj_098.png,1,1,0
correct/reloj_030.png,0,1,0
correct/reloj_004.jpg,1,0,0
incorrect/reloj_023.png,0,0,0
correct/reloj_031.jpg,1,0,0
correct/reloj_140.png,0,1,0
incorrect/reloj_043.png,0,0,0
incorrect/reloj_288.png,0,0,0
incorrect/reloj_308.png,0,0,0
incorrect/reloj_204.png,0,0,0
incorrect/reloj_224.png,0,0,0
correct/reloj_199.jpg,1,1,1
incorrect/reloj_182.png,0,0,0
incorrect/reloj_241.png,0,0,0
correct/reloj_193.jpg,1,1,1
correct/reloj_123.png,0,0,1
incorrect/reloj_085.png,0,0,0
correct/reloj_151.png,1,1,1
incorrect/reloj_249.jpg,0,0,0
correct/reloj_201.jpg,1,1,1
correct/reloj_124.png,0,1,0
correct/reloj_185.jpg,1,1,1
incorrect/reloj_011.png,0,0,0
incorrect/reloj_010.png,0,0,0
incorrect/reloj_193.png,0,0,0
correct/reloj_142.png,0,1,1
incorrect/reloj_292.png,0,0,0
correct/reloj_107.png,1,1,1
incorrect/reloj_290.png,0,0,0
incorrect/reloj_098.png,0,0,0
correct/reloj_089.png,0,1,0
incorrect/reloj_004.png,0,0,0
incorrect/reloj_316.png,0,0,0
incorrect/reloj_169.png,0,0,0
incorrect/reloj_214.png,0,0,0
incorrect/reloj_225.png,0,0,0
incorrect/reloj_114.png,0,0,0
incorrect/reloj_006.png,0,0,0
incorrect/reloj_096.png,0,0,0
correct/reloj_229.png,0,1,1
incorrect/reloj_076.png,0,0,0
correct/reloj_217.png,0,1,1
incorrect/reloj_212.png,0,0,0
incorrect/reloj_087.png,0,0,0
correct/reloj_094.png,1,1,0
correct/reloj_154.png,1,1,1
incorrect/reloj_110.png,0,0,0
incorrect/reloj_239.png,0,0,0
incorrect/reloj_034.png,0,0,0
incorrect/reloj_075.png,0,0,0
correct/reloj_215.png,0,1,1
incorrect/reloj_314.png,0,0,0
incorrect/reloj_221.png,0,0,0
correct/reloj_009.jpg,1,0,0
incorrect/reloj_018.png,0,0,0
incorrect/reloj_194.png,0,0,0
correct/reloj_130.jpg,1,0,0
incorrect/reloj_108.png,0,0,0
incorrect/reloj_198.png,0,0,0
correct/reloj_018.png,0,0,1
correct/reloj_093.png,1,1,0
correct/reloj_165.jpg,1,0,0
incorrect/reloj_084.png,0,0,0
correct/reloj_059.png,0,0,1
incorrect/reloj_093.png,0,0,0
incorrect/reloj_038.png,0,0,0
incorrect/reloj_074.png,0,0,0
incorrect/reloj_232.png,0,0,0
incorrect/reloj_197.png,0,0,0
correct/reloj_055.png,1,1,1
correct/reloj_176.jpg,1,1,0
incorrect/reloj_080.png,0,0,0
correct/reloj_126.png,0,1,1
incorrect/reloj_125.png,0,0,0
correct/reloj_099.png,1,1,0
incorrect/reloj_158.png,0,0,0
correct/reloj_128.png,0,1,1
incorrect/reloj_254.png,0,0,0
incorrect/reloj_128.png,0,0,0
correct/reloj_066.png,0,0,1
incorrect/reloj_017.png,0,0,0
correct/reloj_122.png,0,0,1
incorrect/reloj_047.png,0,0,0
correct/reloj_021.png,0,1,0
correct/reloj_043.png,1,1,0
incorrect/reloj_102.png,0,0,0
correct/reloj_035.png,0,1,1
correct/reloj_144.png,0,1,1
correct/reloj_188.jpg,1,1,1
correct/reloj_223.png,1,1,1
incorrect/reloj_112.png,0,0,0
correct/reloj_214.png,0,1,1
incorrect/reloj_083.png,0,0,0
correct/reloj_003.jpg,1,0,0
correct/reloj_097.jpg,1,0,0
incorrect/reloj_164.png,0,0,0
incorrect/reloj_184.png,0,0,0
incorrect/reloj_178.png,0,0,0
incorrect/reloj_302.png,0,0,0
correct/reloj_019.png,0,1,0
incorrect/reloj_285.jpg,0,0,0
correct/reloj_206.png,1,1,1
correct/reloj_211.png,0,0,1
incorrect/reloj_144.png,0,0,0
incorrect/reloj_149.png,0,0,0
incorrect/reloj_313.jpg,0,1,0
incorrect/reloj_207.png,0,0,0
incorrect/reloj_303.jpg,0,1,0
correct/reloj_222.png,1,1,1
correct/reloj_057.png,0,0,1
correct/reloj_061.png,0,0,1
incorrect/reloj_296.png,0,0,0
incorrect/reloj_276.png,0,0,0
incorrect/reloj_121.png,0,0,0
correct/reloj_085.png,0,1,1
incorrect/reloj_134.png,0,0,0
correct/reloj_171.jpg,1,1,0
incorrect/reloj_117.png,0,0,0
correct/reloj_006.jpg,1,0,0
incorrect/reloj_203.png,0,0,0
incorrect/reloj_138.png,0,0,0
correct/reloj_056.png,0,0,1
correct/reloj_219.png,0,0,1
